FAN_ID,SOURCE,CUST_ID,METER_ID,READ_TIME,REC_NO,DEL_KWH,REC_KWH,DEL_KVARH_LAG,DEL_KVARH_LEAD,REC_KVARH_LAG,REC_KVARH_LEAD,INTERVAL,NOTE
,HES-TMAP20210525,08093497036,WB15001459,2022-03-01T00:15:00,,0.0006,0,0.0020,0,0,0,1,1
,HES-TMAP20210525,08093497036,WB15001459,2022-03-01T00:30:00,,0.0006,0,0.0019,0,0,0,1,1
,HES-TMAP20210525,08093497036,WB15001459,2022-03-01T00:45:00,,0.0006,0,0.0020,0,0,0,1,1
,HES-TMAP20210525,08093497036,WB15001459,2022-03-01T01:00:00,,0.0007,0,0.0019,0,0,0,1,1
,HES-TMAP20210525,08093497036,WB15001459,2022-03-01T01:15:00,,0.0006,0,0.0020,0,0,0,1,1
,HES-TMAP20210525,08093497036,WB15001459,2022-03-01T01:30:00,,0.0006,0,0.0020,0,0,0,1,1
,HES-TMAP20210525,08093497036,WB15001459,2022-03-01T01:45:00,,0.0006,0,0.0020,0,0,0,1,1
,HES-TMAP20210525,08093497036,WB15001459,2022-03-01T02:00:00,,0.0006,0,0.0019,0,0,0,1,1
,HES-TMAP20210525,08093497036,WB15001459,2022-03-01T02:15:00,,0.0006,0,0.0020,0,0,0,1,1
,HES-TMAP20210525,08093497036,WB15001459,2022-03-01T02:30:00,,0.0007,0,0.0019,0,0,0,1,1
,HES-TMAP20210525,11663742005,TB12604332,2022-03-01T00:15:00,,0.1665,,0.0759,,,,1,1
,HES-TMAP20210525,11663742005,TB12604332,2022-03-01T00:30:00,,0.168150,,0.073650,,,,1,1
,HES-TMAP20210525,11663742005,TB12604332,2022-03-01T00:45:00,,0.161550,,0.0738,,,,1,1
,HES-TMAP20210525,11663742005,TB12604332,2022-03-01T01:00:00,,0.1509,,0.061650,,,,1,1
,HES-TMAP20210525,11663742005,TB12604332,2022-03-01T01:15:00,,0.153150,,0.059550,,,,1,1
,HES-TMAP20210525,11663742005,TB12604332,2022-03-01T01:30:00,,0.1668,,0.0705,,,,1,1
,HES-TMAP20210525,11663742005,TB12604332,2022-03-01T01:45:00,,0.1671,,0.0753,,,,1,1
,HES-TMAP20210525,11663742005,TB12604332,2022-03-01T02:00:00,,0.165750,,0.076650,,,,1,1
,HES-TMAP20210525,11663742005,TB12604332,2022-03-01T02:15:00,,0.157950,,0.072150,,,,1,1
,HES-TMAP20210525,11663742005,TB12604332,2022-03-01T02:30:00,,0.160950,,0.073650,,,,1,1
,HES-TMAP20210525,11644901086,TB12602158,2022-03-01T00:15:00,,0.0048,,0.011550,,,,1,1
,HES-TMAP20210525,11644901086,TB12602158,2022-03-01T00:30:00,,0.0048,,0.011250,,,,1,1
,HES-TMAP20210525,11644901086,TB12602158,2022-03-01T00:45:00,,0.004650,,0.0108,,,,1,1
